nouns,count
food,64
place,50
service,38
time,29
minute,19
restaurant,11
table,10
burger,10
flavor,10
star,10
salad,8
dish,8
chicken,8
experience,8
quality,8
server,8
meal,8
hour,7
meat,7
bit,7
