phrases,count
10 minute,4
zero star,4
bad food,4
good food,3
mediocre food,3
20 minute,3
30 minute,3
good way,3
30 min,2
bland food,2
bad service,2
hot dog,2
bad experience,2
1 star,2
40 minute,2
35 minute,2
terrible service,2
poor quality,2
damn pho,1
human hair,1
