phrases,count
great food,7
great place,6
great service,5
good food,5
5 star,5
good thing,4
friendly staff,3
second time,3
sweet potato,3
good place,3
good service,3
good price,2
greek dressing,2
great time,2
good steak,2
good selection,2
fine dining,2
fantastic service,2
good beer,2
great side,2
