nouns,count
food,117
place,110
service,77
time,55
restaurant,28
staff,19
minute,19
experience,19
star,18
price,17
server,17
dish,17
chicken,16
steak,16
pizza,16
menu,15
salad,15
burger,15
table,14
quality,14
